"BNetzA-ID";"Kraftwerksname";"Blockname";"Energieträger";"KWK
Ja/Nein";"PLZ";"Ort";"Bundesland/
Land";"Inbetrieb-
nahmejahr";"Status";"el. Leistung
06.02.2020";"A 2035:
KWK-Ersatz";"A 2035:
Leistung";"B 2035
KWK-Ersatz";"B 2035:
Leistung";"C 2035:
KWK-Ersatz";"C 2035:
Leistung";"B 2040:
KWK-Ersatz";"B 2040:
Leistung"
"BNA0046";"Säckingen";"Säckingen";"Pumpspeicher";"Nein";"79713";"Bad Säckingen";"BW";1966;"in Betrieb";360;"Nein";360;"Nein";360;"Nein";360;"Nein";360
"BNA0467";"Hohenwarte 2";"PSS A";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";317,8;"Nein";317,8;"Nein";317,8;"Nein";317,8;"Nein";317,8
"BNA0468";"Hohenwarte 2";"PSS B";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0469";"Hohenwarte 2";"PSS C";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0470";"Hohenwarte 2";"PSS D";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0471";"Hohenwarte 2";"PSS E";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0472";"Hohenwarte 2";"PSS F";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0473";"Hohenwarte 2";"PSS G";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0474";"Hohenwarte 2";"PSS H";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1966;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0558";"Erzhausen";;"Pumpspeicher";"Nein";"37547";"Kreiensen";"NI";1964;"in Betrieb";220;"Nein";220;"Nein";220;"Nein";220;"Nein";220
"BNA0669";"Pumpspeicherkraftwerk Glems";"Pumpspeicher-
kraftwerk Glems";"Pumpspeicher";"Nein";"72555";"Metzingen-
Glems";"BW";1964;"in Betrieb";90;"Nein";90;"Nein";90;"Nein";90;"Nein";90
"BNA0978";"PSW Vianden";"Maschine 6";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1964;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0979";"PSW Vianden";"Maschine 7";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1964;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0981";"PSW Vianden";"Maschine 9";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1964;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0980";"PSW Vianden";"Maschine 8";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1963;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0984";"PSW Vianden";"Maschine 3";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1963;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0985";"PSW Vianden";"Maschine 4";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1963;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0986";"PSW Vianden";"Maschine 5";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1963;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0982";"PSW Vianden";"Maschine 1";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1962;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0983";"PSW Vianden";"Maschine 2";"Pumpspeicher";"Nein";"L-9401";"Vianden";"LU";1962;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0973";"Leitzach 2";2;"Pumpspeicher";"Nein";"83620";"Vagen";"BY";1960;"in Betrieb";44;"Nein";44;"Nein";44;"Nein";44;"Nein";44
"BNA0465";"Hohenwarte 1";"PSS A";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1959;"in Betrieb";59,8;"Nein";59,8;"Nein";59,8;"Nein";59,8;"Nein";59,8
"BNA0466";"Hohenwarte 1";"PSS B";"Pumpspeicher";"Nein";"07338";"Hohenwarte";"TH";1959;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0946a";"Kraftwerksgruppe Pfreimd";"PSKW Tanzmühle";"Pumpspeicher";"Nein";"92555";"Trausnitz";"BY";1959;"in Betrieb";28;"Nein";28;"Nein";28;"Nein";28;"Nein";28
"BNA0327";"Geesthacht";"PSS A";"Pumpspeicher";"Nein";"21502";"Geesthacht";"SH";1958;"in Betrieb";119,1;"Nein";119,1;"Nein";119,1;"Nein";119,1;"Nein";119,1
"BNA0328";"Geesthacht";"PSS B";"Pumpspeicher";"Nein";"21502";"Geesthacht";"SH";1958;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0329";"Geesthacht";"PSS C";"Pumpspeicher";"Nein";"21502";"Geesthacht";"SH";1958;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0422";"Happurg";"Happurg";"Pumpspeicher";"Nein";"91230";"Happurg";"BY";1958;"in Betrieb";160;"Nein";160;"Nein";160;"Nein";160;"Nein";160
"BNA0721";"Niederwartha";"PSS C";"Pumpspeicher";"Nein";"01462";"Niederwartha";"SN";1957;"in Betrieb";39,8;"Nein";39,8;"Nein";39,8;"Nein";39,8;"Nein";39,8
"BNA0722";"Niederwartha";"PSS D";"Pumpspeicher";"Nein";"01462";"Niederwartha";"SN";1957;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0954";"Lünerseewerk";"Masch. 1 bis 5";"Pumpspeicher";"Nein";"AT-
6774";"Tschagguns";"AT";1957;"in Betrieb";238;"Nein";238;"Nein";238;"Nein";238;"Nein";238
"BNA0953";"Kraftwerksgruppe Pfreimd";"PSKW Reisach";"Pumpspeicher";"Nein";"92555";"Trausnitz";"BY";1955;"in Betrieb";99;"Nein";99;"Nein";99;"Nein";99;"Nein";99
"BNA1003";"Kraftwerk Waldshut";"Waldshut";"Pumpspeicher";"Nein";"79761";"Waldshut-
Tiengen";"BW";1951;"in Betrieb";150;"Nein";150;"Nein";150;"Nein";150;"Nein";150
"BNA0974";"Rodundwerk I";"Masch. 1 bis 4";"Pumpspeicher";"Nein";"AT-
6773";"Vandans";"AT";1943;"in Betrieb";198;"Nein";198;"Nein";198;"Nein";198;"Nein";198
"BNA1071";"Witznau";"Witznau";"Pumpspeicher";"Nein";"79777";"Witznau";"BW";1943;"in Betrieb";220;"Nein";220;"Nein";220;"Nein";220;"Nein";220
"BNA0882";"Bleiloch";"PSS A";"Pumpspeicher";"Nein";"07907";"Schleiz";"TH";1932;"in Betrieb";79,8;"Nein";79,8;"Nein";79,8;"Nein";79,8;"Nein";79,8
"BNA0883";"Bleiloch";"PSS B";"Pumpspeicher";"Nein";"07907";"Schleiz";"TH";1932;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0228";"Waldeck1/Bringhausen";"Wal-
deck1/Bringhause
n";"Pumpspeicher";"Nein";"34549";"Edertal
Hemfurth-
Edersee";"HE";1931;"in Betrieb";145;"Nein";145;"Nein";145;"Nein";145;"Nein";145
"BNA0426";"Häusern";"Häusern";"Pumpspeicher";"Nein";"79837";"Häusern";"BW";1931;"in Betrieb";100;"Nein";100;"Nein";100;"Nein";100;"Nein";100
"BNA0279";"Rudolf-Fettweis-Werk";"Pumpspeicher-
kraftwerk
Schwarzenbach-
werk";"Pumpspeicher";"Nein";"76596";"Forbach";"BW";1926;"in Betrieb";43;"Nein";43;"Nein";43;"Nein";43;"Nein";43
"BNAP068";"Rudolf-Fettweis-Werk
""Oberstufe""";"RFW-Oberstufe";"Pumpspeicher";"Nein";"76596";"Forbach";"BW";;"In Planung";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNAP069";"Rudolf-Fettweis-Werk
""Unterstufe""";"RFW-Unterstufe";"Pumpspeicher";"Nein";"76596";"Forbach";"BW";;"In Planung";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNAP098";"Riedl";;"Pumpspeicher";"Nein";"94107";"Untergries-
bach";"BY";;"In Planung";300;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"KW<10 MW";;;"Pumpspeicher";;;"ohne
Zuordnung";;;"in Betrieb";1,7;"Nein";1,7;"Nein";1,7;"Nein";1,7;"Nein";1,7
"BNAP131";"Kessel 7";;"Sonstige
Energieträger";"Ja";"50769";"Köln";"NW";2021;"In Bau";57,6;"Nein";57,6;"Nein";57,6;"Nein";57,6;"Nein";57,6
"n. v.";"Papierfabrik Palm";;"Sonstige
Energieträger";;;"Aalen";"BW";2021;"In Planung";80;"Nein";80;"Nein";80;"Nein";80;"Nein";80
"BNA0693";"Heizkraftwerk NMS";;"Sonstige
Energieträger";"Ja";"24534";"Neumünster";"SH";2014;"in Betrieb";53,6;"Nein";53,6;"Nein";53,6;"Nein";53,6;"Nein";53,6
"BNA0237";"EBS-Heizkraftwerk";;"Sonstige
Energieträger";"Ja";"15890";"Eisenhütten-
stadt";"BB";2011;"in Betrieb";23,5;"Nein";23,5;"Nein";23,5;"Nein";23,5;"Nein";23,5
"BNA0598b";"ILK-GuD";"KT1";"Sonstige
Energieträger";"Nein";"06237";"Leuna";"ST";2010;"in Betrieb";20;"Nein";20;"Nein";20;"Nein";20;"Nein";20
"BNA1465a";"EBS-Kraftwerk Witzenhausen";;"Sonstige
Energieträger";"Ja";"37213";"Witzenhausen";"HE";2009;"in Betrieb";28;"Nein";28;"Nein";28;"Nein";28;"Nein";28
"BNA1894";;;"Sonstige
Energieträger";"Nein";"72359";"Dotternhausen";"BW";2007;"in Betrieb";10,1;"Nein";10,1;"Nein";10,1;"Nein";10,1;"Nein";10,1
"BNA0997";"HKW Fenne, Grubengaskraft-
werk";"Gasmotorenanla-
ge Fenne";"Sonstige
Energieträger";"Ja";"66333";"Völklingen-
Fenne";"SL";2003;"in Betrieb";42;"Nein";42;"Nein";42;"Nein";42;"Nein";42
"BNA0598a";"ILK-EKT";"EKT";"Sonstige
Energieträger";"Ja";"06237";"Leuna";"ST";2000;"in Betrieb";14;"Nein";14;"Nein";14;"Nein";14;"Nein";14
"BNA0597";"ILK-GuD";"DT1";"Sonstige
Energieträger";"Ja";"06237";"Leuna";"ST";1994;"in Betrieb";8,7;"Nein";8,7;"Nein";8,7;"Nein";8,7;"Ja";4,4
"BNA1523c";"Gemeinschaftskraftwerk Weig";"Block 3 (Kessel 3
und 4, DT 2 und 3
anteilig)";"Sonstige
Energieträger";"Ja";"56727";"Mayen";"RP";1992;"in Betrieb";10,3;"Nein";10,3;"Nein";10,3;"Nein";10,3;"Ja";5,2
"BNA1249";"UPM Schongau";"Heizkraftwerk 2";"Sonstige
Energieträger";"Ja";"86956";"Schongau";"BY";1989;"in Betrieb";6;"Ja";1,5;"Ja";3;"Ja";4,5;"Ja";3
"BNA1488";;;"Sonstige
Energieträger";"Ja";"44147";"Dortmund";"NW";1989;"in Betrieb";16;"Ja";4;"Ja";8;"Ja";12;"Ja";8
"BNA0492";"RAG Anthrazit Ibbenbüren
GmbH";"EVA";"Sonstige
Energieträger";"Nein";"49477";"Ibbenbüren";"NW";1985;"in Betrieb";33,4;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1865";"Turbine 5";;"Sonstige
Energieträger";"Ja";"49084";"Osnabrück";"NI";1972;"in Betrieb";9,8;"Ja";2,5;"Ja";4,9;"Ja";7,4;"Ja";4,9
"BNA1397e";"O10";"T31";"Sonstige
Energieträger";"Ja";"50769";"Köln";"NW";1967;"in Betrieb";33,6;"Ja";8,4;"Ja";16,8;"Ja";25,2;"Ja";16,8
"BNA1870";"Werk Kalscheuren";;"Sonstige
Energieträger";"Nein";"50997";"Köln";"NW";1967;"in Betrieb";26,5;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1397d";"O10";"T24";"Sonstige
Energieträger";"Nein";"50769";"Köln";"NW";1966;"in Betrieb";10,4;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0616b";"Kraftwerk Nord";"S 300
VT 1, VT 2, NT 7";"Sonstige
Energieträger";"Ja";"67056";"Ludwigshafen";"RP";1964;"in Betrieb";87,5;"Ja";21,9;"Ja";43,8;"Ja";65,6;"Ja";43,8
"BNA1553";;;"Sonstige
Energieträger";"Ja";"85092";"Kösching";"BY";1964;"in Betrieb";23,3;"Ja";5,8;"Ja";11,7;"Ja";17,5;"Ja";11,7
"BNA1397a";"O10";"T21";"Sonstige
Energieträger";"Ja";"50769";"Köln";"NW";1963;"in Betrieb";15,5;"Ja";3,9;"Ja";7,8;"Ja";11,6;"Ja";7,8
"BNA1397b";"O10";"T22";"Sonstige
Energieträger";"Ja";"50769";"Köln";"NW";1963;"in Betrieb";19,2;"Ja";4,8;"Ja";9,6;"Ja";14,4;"Ja";9,6
"BNA1397c";"O10";"T23";"Sonstige
Energieträger";"Ja";"50769";"Köln";"NW";1963;"in Betrieb";15,5;"Ja";3,9;"Ja";7,8;"Ja";11,6;"Ja";7,8
"BNA1864";"Turbine 4";;"Sonstige
Energieträger";"Ja";"49084";"Osnabrück";"NI";1962;"in Betrieb";9,5;"Ja";2,4;"Ja";4,8;"Ja";7,1;"Ja";4,8
"BNA1526";"Kraftwerk Raffinerie Heide";;"Sonstige
Energieträger";"Ja";"25770";"Hemminstedt";"SH";1961;"in Betrieb";44,5;"Ja";11,1;"Ja";22,3;"Ja";33,4;"Ja";22,3
"BNA0662b";"Kraftwerk I";"Dampfwirtschaft
(6 Einzelturbinen)";"Sonstige
Energieträger";"Ja";"45772";"Marl";"NW";1939;"in Betrieb";169,3;"Ja";42,3;"Ja";84,7;"Ja";127;"Ja";84,7
"BNA1399";"Oxea GmbH";;"Sonstige
Energieträger";"Ja";"46147";"Oberhausen";"NW";1929;"in Betrieb";38;"Ja";9,5;"Ja";19;"Ja";28,5;"Ja";19
"BNAP238";"Kessel 9,10,11";"Kessel 9,10,11";"Sonstige
Energieträger";"Ja";"50997";"Köln";"NW";;"In Planung";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"KW<10 MW";;;"Sonstige
Energieträger";"Ja";;"ohne
Zuordnung";;;"in Betrieb";672,1;"Nein";672,1;"Nein";672,1;"Nein";672,1;"Nein";672,1
"BNAP062";"KW Lünen";"Lünen 8";"Steinkohle";"Nein";"44536";"Lünen";"NW";2022;"In Planung";735;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNAP029";"Datteln";"Datteln 4";"Steinkohle";"Ja";"45711";"Datteln";"NW";2020;"In Bau";1052;"Ja";263;"Ja";526;"Ja";789;"Ja";526
"BNA0646b";"GKM";"Block 9";"Steinkohle";"Ja";"68199";"Mannheim";"BW";2015;"in Betrieb";843;"Ja";210,8;"Ja";421,5;"Ja";632,3;"Ja";421,5
"BNA1558";"Moorburg B";"B";"Steinkohle";"Ja";"21079";"Hamburg";"HH";2015;"in Betrieb";800;"Ja";200;"Ja";400;"Ja";600;"Ja";400
"BNA1673";"Moorburg A";"A";"Steinkohle";"Ja";"21079";"Hamburg";"HH";2015;"in Betrieb";800;"Ja";200;"Ja";400;"Ja";600;"Ja";400
"BNA1674";"Kraftwerk Wilhelmshaven";"Kraftwerk
Wilhelmshaven";"Steinkohle";"Nein";"26386";"Wilhelms-
haven";"NI";2015;"in Betrieb";731;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0413c";"Westfalen";"E";"Steinkohle";"Nein";"59071";"Hamm-
Uentrop";"NW";2014;"in Betrieb";763,7;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0518b";"Rheinhafen-Dampfkraftwerk";"RDK 8";"Steinkohle";"Ja";"76189";"Karlsruhe";"BW";2014;"in Betrieb";834;"Ja";208,5;"Ja";417;"Ja";625,5;"Ja";417
"BNA0216b";"KW Walsum";"Walsum 10";"Steinkohle";"Ja";"47180";"Duisburg";"NW";2013;"in Betrieb";725;"Ja";181,3;"Ja";362,5;"Ja";543,8;"Ja";362,5
"BNA1508";"Trianel Kohlekraftwerk Lünen";;"Steinkohle";"Ja";"44536";"Lünen";"NW";2013;"in Betrieb";735;"Ja";183,8;"Ja";367,5;"Ja";551,3;"Ja";367,5
"BNA0644";"GKM";"Block 6";"Steinkohle";"Ja";"68199";"Mannheim";"BW";2005;"in Betrieb";255;"Ja";63,8;"Ja";127,5;"Ja";191,3;"Ja";127,5
"BNA1075a";"HKW Nord";"Generator A";"Steinkohle";"Ja";"38436";"Wolfsburg";"NI";2000;"in Betrieb";61,5;"Ja";15,4;"Ja";30,8;"Ja";46,1;"Ja";30,8
"BNA1075b";"HKW Nord";"Generator B";"Steinkohle";"Ja";"38436";"Wolfsburg";"NI";2000;"in Betrieb";61,5;"Ja";15,4;"Ja";30,8;"Ja";46,1;"Ja";30,8
"BNA0019";"Heizkraftwerk Alt-
bach/Deizisau";"ALT HKW 2 (DT
Solobetrieb)";"Steinkohle";"Ja";"73776";"Altbach";"BW";1997;"in Betrieb";336;"Ja";84;"Ja";168;"Ja";252;"Ja";168
"BNA0510b";"HKW Karcherstr.";20;"Steinkohle";"Ja";"67655";"Kaiserslautern";"RP";1996;"in Betrieb";13,4;"Ja";3,4;"Ja";6,7;"Ja";10,1;"Ja";6,7
"BNA0849";"KNG Kraftwerk Rostock";"Rostock";"Steinkohle";"Ja";"18147";"Rostock";"MV";1994;"in Betrieb";514;"Ja";128,5;"Ja";257;"Ja";385,5;"Ja";257
"BNA0402";"Tiefstack";"Tiefstack";"Steinkohle";"Ja";"22113";"Hamburg";"HH";1993;"in Betrieb";194;"Ja";48,5;"Ja";97;"Ja";145,5;"Ja";97
"BNA0646a";"GKM";"Block 8";"Steinkohle";"Ja";"68199";"Mannheim";"BW";1993;"in Betrieb";435;"Ja";108,8;"Ja";217,5;"Ja";326,3;"Ja";217,5
"BNA0270";"Heizkraftwerk FL";"Block 11";"Steinkohle";"Ja";"24939";"Flensburg";"SH";1992;"in Betrieb";31;"Ja";7,8;"Ja";15,5;"Ja";23,3;"Ja";15,5
"BNA0377";"Staudinger";5;"Steinkohle";"Ja";"63538";"Großkrotzen-
burg";"HE";1992;"in Betrieb";510;"Ja";127,5;"Ja";255;"Ja";382,5;"Ja";255
"BNA0969b";"Nord 2";2;"Steinkohle";"Ja";"85774";"Unterföhring";"BY";1991;"in Betrieb *";332,7;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0085a";"Moabit";"Moabit A";"Steinkohle";"Ja";"13353";"Berlin";"BE";1990;"in Betrieb";89;"Ja";22,3;"Ja";44,5;"Ja";66,8;"Ja";44,5
"BNA0758";"Heizkraftwerk Offenbach";;"Steinkohle";"Ja";"63067";"Offenbach";"HE";1990;"in Betrieb";54;"Ja";13,5;"Ja";27;"Ja";40,5;"Ja";27
"BNA0801";"Heizkraftwerk Pforzheim
GmbH";"Wirbelschicht-
block";"Steinkohle";"Ja";"75175";"Pforzheim";"BW";1990;"in Betrieb";26,9;"Ja";6,7;"Ja";13,5;"Ja";20,2;"Ja";13,5
"BNA1500";"Werk Uelzen";;"Steinkohle";"Ja";"29525";"Uelzen";"NI";1990;"in Betrieb";40;"Ja";10;"Ja";20;"Ja";30;"Ja";20
"BNA0144";"KW Hastedt";"Block 15";"Steinkohle";"Ja";"28207";"Bremen";"HB";1989;"in Betrieb";119;"Ja";29,8;"Ja";59,5;"Ja";89,3;"Ja";59,5
"BNA0289b";"HKW West";"Block 2";"Steinkohle";"Ja";"60627";"Frankfurt am
Main";"HE";1989;"in Betrieb";61,5;"Ja";15,4;"Ja";30,8;"Ja";46,1;"Ja";30,8
"BNA0290";"HKW West";"Block 3";"Steinkohle";"Ja";"60627";"Frankfurt am
Main";"HE";1989;"in Betrieb";61,5;"Ja";15,4;"Ja";30,8;"Ja";46,1;"Ja";30,8
"BNA0420";"GKH";"Block1";"Steinkohle";"Ja";"30419";"Hannover";"NI";1989;"in Betrieb";136;"Ja";34;"Ja";68;"Ja";102;"Ja";68
"BNA0421";"GKH";"Block2";"Steinkohle";"Ja";"30419";"Hannover";"NI";1989;"in Betrieb";136;"Ja";34;"Ja";68;"Ja";102;"Ja";68
"BNA0450";"KW Herne";"Herne 4";"Steinkohle";"Ja";"44655";"Herne";"NW";1989;"in Betrieb";449;"Ja";112,3;"Ja";224,5;"Ja";336,8;"Ja";224,5
